quickEthiopia,2053535690,-9.13578106730014E+018,Ethiopia 🤔,"Catalyst Community Reviewers, Moderators, Advisors",1461608981
neba_st,467338947,6.30028562569535E+018,Neba CardanoEthiopia,"Catalyst Community Reviewers, Moderators, Advisors",1461608981
,1780264728,-5.17228976881481E+018,Alino,"Catalyst Community Reviewers, Moderators, Advisors",1461608981
Seiduz,875783546,-7.40888187706039E+018,Seidu Ziblim Abu,"Catalyst Community Reviewers, Moderators, Advisors",1461608981
BaudMuvunga,5931608910,5.91409354407639E+018,Baudouin Muvunga,"Catalyst Community Reviewers, Moderators, Advisors",1461608981
,5414604779,-2.59574435168041E+018,Mk Msg,"Catalyst Community Reviewers, Moderators, Advisors",1461608981
gonzalocamps,1316947895,-6.29635616661419E+018,Gon ~ cooperativalocal.org,"Catalyst Community Reviewers, Moderators, Advisors",1461608981
Rafiatu,517075043,7.15170002108328E+017,Nasara,"Catalyst Community Reviewers, Moderators, Advisors",1461608981
alexrjames,6337491102,-4.02310244044944E+018,A J,"Catalyst Community Reviewers, Moderators, Advisors",1461608981
pitora_pitora,790632192,8.07184312358898E+018,Pitora,"Catalyst Community Reviewers, Moderators, Advisors",1461608981
Jcmagugu,5069959439,-3.85818586379203E+018,Jean-Claude Magugu,"Catalyst Community Reviewers, Moderators, Advisors",1461608981
KYNETITO,5581787033,8.15982889133405E+017,Kojo amoah,"Catalyst Community Reviewers, Moderators, Advisors",1461608981
gagaralsma,1439964196,2.71396058416796E+016,J,"Catalyst Community Reviewers, Moderators, Advisors",1461608981
danny_cryptofay,1230412826,-1.23188710860953E+017,Daniel Ribar - beware of scam,"Catalyst Community Reviewers, Moderators, Advisors",1461608981
DucTIGERpool,488046821,-8.34770412019766E+018,Duc TIGER,"Catalyst Community Reviewers, Moderators, Advisors",1461608981
IBeam1day,695182658,-1.32641049308352E+017,Muaz,"Catalyst Community Reviewers, Moderators, Advisors",1461608981
log2222,960922616,-3.3922023634447E+017,_,"Catalyst Community Reviewers, Moderators, Advisors",1461608981
K0fi0_0,353462432,-6.83326828302854E+017,Richmond,"Catalyst Community Reviewers, Moderators, Advisors",1461608981
Jornlr,1259126841,-6.83645420348904E+018,Kevin Mohr,"Catalyst Community Reviewers, Moderators, Advisors",1461608981
Tocriss81,467965335,-9.17229432168016E+018,Ə§røm 👑👑,"Catalyst Community Reviewers, Moderators, Advisors",1461608981
vneconomics,1548618770,-1.54783874339619E+018,Tung Tran - blocktree.asia,"Catalyst Community Reviewers, Moderators, Advisors",1461608981
sb_pabon,1996166917,1.30728504400886E+018,Sebastian Pabon,"Catalyst Community Reviewers, Moderators, Advisors",1461608981
BoazB5475,2131307347,2.69105763271499E+018,BANDU BALUME Boaz,"Catalyst Community Reviewers, Moderators, Advisors",1461608981
FreeSoul258,442471288,-4.40876490446753E+018,FreeSoul,"Catalyst Community Reviewers, Moderators, Advisors",1461608981
,5915423580,3.00738040567207E+017,DucThang,"Catalyst Community Reviewers, Moderators, Advisors",1461608981
JasonKilo69,5718784691,-8.41876260145115E+018,Jason Kilo,"Catalyst Community Reviewers, Moderators, Advisors",1461608981
Rodrigo_Pacini,981243068,-2.75472496256203E+018,Rodrigo P₳cini,"Catalyst Community Reviewers, Moderators, Advisors",1461608981
kiingpanda,844944105,-3.53671643761586E+018,PaNdA,"Catalyst Community Reviewers, Moderators, Advisors",1461608981
,6230559196,8.18088783456951E+018,M P,"Catalyst Community Reviewers, Moderators, Advisors",1461608981
Victoirekah,6101360394,-7.23988058824364E+018,Kahwege Victoire,"Catalyst Community Reviewers, Moderators, Advisors",1461608981
PNKBD,864177095,-2.37932286046083E+018,NANA AMA KWAME,"Catalyst Community Reviewers, Moderators, Advisors",1461608981
,5324669588,1.0054468171341E+017,Extel Love,"Catalyst Community Reviewers, Moderators, Advisors",1461608981
Kyptonight,5721354736,-2.03512099527179E+018,Kk,"Catalyst Community Reviewers, Moderators, Advisors",1461608981
jerrywalters,5061142100,-5.99935713250633E+018,Jerry Walters,"Catalyst Community Reviewers, Moderators, Advisors",1461608981
